idx,nom_rue,highway,longueur_m,largeur_m,hauteur_bat_m,nb_batiments,ratio_hw,h_canyon_m,vent_eff,total_emit,concentration,delta_T,heure,pblh_m
51,Đường Tân Xuân,secondary,111.01715326795349,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.66,8,313
52,Đường Đức Thắng,secondary,185.77596670180512,16,12.0,1,0.75,21.0,1.05,0.22986,65.06,2.65,8,313
53,Đường Đức Thắng,secondary,175.2382225439117,16,12.0,1,0.75,21.0,1.05,0.22986,65.06,2.65,8,313
54,đường 24,residential,323.98562291246765,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.06,8,313
55,Đường Lê Văn Hiến,tertiary,6.87312610814756,12,12.0,15,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
56,Đường Lê Văn Hiến,tertiary,95.4333391989522,12,12.0,23,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
57,Ngõ 59 Lê Văn Hiến,residential,294.1493051866413,8,13.038461538461538,26,1.63,34.3,0.7,0.03542,20.22,1.13,8,313
58,Ruelle sans nom (segment 58),residential,26.046494433265323,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
59,Phố Tân Phong,residential,340.3403376717469,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.06,8,313
60,Phố Tân Phong,residential,44.567108851835954,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
61,Ruelle sans nom (segment 61),residential,184.50165284192826,8,12.0,3,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
62,Đường Bờ tây sông Nhuệ,tertiary,382.40915738969437,12,12.0,3,1.0,24.0,0.92,0.14028,52.94,1.85,8,313
63,Đường Bờ tây sông Nhuệ,tertiary,111.15447321151886,12,12.0,4,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
64,Ruelle sans nom (segment 64),residential,43.43685563912119,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
65,Đường Bờ tây sông Nhuệ,tertiary,85.99224468458875,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
66,Đường Bờ tây sông Nhuệ,tertiary,103.05077738691455,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
67,Đường Bờ tây sông Nhuệ,tertiary,108.68425160565269,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
68,Đường Phạm Văn Nghị,tertiary,363.67663871282014,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.85,8,313
69,Ruelle sans nom (segment 69),residential,47.943635418342105,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
70,Đường Bờ tây sông Nhuệ,tertiary,188.004806059167,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.88,8,313
71,Đường Bờ tây sông Nhuệ,tertiary,314.4989193765721,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.86,8,313
72,Phố Tân Phong,residential,28.558148464410106,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
73,Phố Tân Phong,residential,74.36934057839906,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
74,Ruelle sans nom (segment 74),residential,79.56502517907872,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
75,Phố Tân Phong,residential,275.45025060115063,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
76,Ngách 114/62 Phố Tân Phong,residential,188.10789948732824,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
77,Đường Lê Văn Hiến,tertiary,35.18047995835501,12,12.0,10,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
78,Ruelle sans nom (segment 78),residential,67.56275241446252,8,12.0,5,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
79,Ngõ 56 Lê Văn Hiến,residential,73.20549389247209,8,12.0,8,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
80,Đường Sông Nhuệ,residential,305.84909416707313,8,11.82,50,1.48,29.3,0.74,0.03542,20.36,1.05,8,313
81,Đường Phạm Văn Nghị,residential,73.59913549714523,8,12.0,5,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
82,Khu B Đại Học Mỏ,residential,24.48264989248487,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
83,Khu B Đại Học Mỏ,residential,171.46457116801238,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
84,Đường Phạm Văn Nghị,residential,144.53564018620222,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
85,Đường Tây Thăng Long,secondary,32.367414548754674,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.67,8,313
86,Phố Chế Lan Viên,residential,35.71836520127233,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
87,Phố Chế Lan Viên,residential,105.82626761234326,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
88,Ruelle sans nom (segment 88),residential,45.32167575788916,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
89,Ruelle sans nom (segment 89),residential,35.568667930445,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
90,Ruelle sans nom (segment 90),residential,80.86814080975384,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
91,Phố Phạm Tiến Duật,residential,32.027957450887385,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
92,Phố Phạm Tiến Duật,residential,18.999492861110223,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
93,Ruelle sans nom (segment 93),residential,142.80600261404606,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
94,Ruelle sans nom (segment 94),tertiary,121.42796612137325,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
95,Ruelle sans nom (segment 95),tertiary,30.662215529041735,12,12.0,2,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
96,Ruelle sans nom (segment 96),residential,181.35738964046453,8,12.0,3,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
97,Ruelle sans nom (segment 97),tertiary,56.83679209927065,12,12.0,2,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
98,Phố Phạm Tiến Duật,residential,58.959787224294644,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
99,Ruelle sans nom (segment 99),residential,107.33594823851789,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
100,Ruelle sans nom (segment 100),residential,26.993916246266085,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
101,Phố Phạm Tiến Duật,residential,44.25446394163041,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
102,Ruelle sans nom (segment 102),residential,62.25506258256634,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
103,Ruelle sans nom (segment 103),tertiary,29.587125845099074,12,12.0,1,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
104,Phố Phạm Tiến Duật,residential,56.72022471412354,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
105,Phố Phạm Tiến Duật,residential,49.98323193914869,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
106,Ruelle sans nom (segment 106),residential,55.07941153015606,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
107,Ruelle sans nom (segment 107),residential,113.84823806593242,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
108,Ruelle sans nom (segment 108),residential,21.299723733224724,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
109,Ruelle sans nom (segment 109),residential,104.07430909022764,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
110,Phố Chế Lan Viên,residential,54.92750350430069,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
111,Phố Chế Lan Viên,residential,153.31155513271506,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
112,Phố Chế Lan Viên,residential,42.70364236917911,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
113,Phố Chế Lan Viên,residential,145.93941956134242,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
114,Ruelle sans nom (segment 114),residential,58.53835632987835,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
115,Ruelle sans nom (segment 115),residential,60.42993250615117,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
116,Phố Chế Lan Viên,residential,27.48057825341522,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
117,Ngách 142/43 Đường Cổ Nhuế,residential,19.063067804193643,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
118,Ruelle sans nom (segment 118),residential,26.994169258614694,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
119,Phố Chế Lan Viên,residential,52.92477556679909,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
120,Phố Chế Lan Viên,residential,89.38296356321422,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
121,Ruelle sans nom (segment 121),residential,29.41700987934167,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
122,Ruelle sans nom (segment 122),residential,79.52609598606723,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
123,Ruelle sans nom (segment 123),tertiary,58.56822422027343,12,12.0,1,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
124,Ruelle sans nom (segment 124),residential,51.03371558212011,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
125,Phố Phạm Tiến Duật,residential,14.187060736480149,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
126,Phố Phạm Tiến Duật,residential,109.89812582570484,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
127,Ruelle sans nom (segment 127),tertiary,52.96540944859521,12,12.0,1,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
128,Ruelle sans nom (segment 128),residential,57.353592800535026,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
129,Phố Phạm Tiến Duật,residential,83.12626973678759,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
130,Ruelle sans nom (segment 130),residential,57.45484590127447,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
131,Ruelle sans nom (segment 131),residential,74.00446592580646,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
132,Phố Chế Lan Viên,residential,40.12074361496024,8,6.0,1,0.75,10.5,1.05,0.03542,40.1,0.72,8,313
133,Phố Chế Lan Viên,residential,42.124368625848994,8,6.0,1,0.75,10.5,1.05,0.03542,40.1,0.72,8,313
134,Ruelle sans nom (segment 134),residential,67.95257289707088,8,6.0,1,0.75,10.5,1.05,0.03542,40.1,0.72,8,313
135,Khu B Đại Học Mỏ,residential,62.88806221535221,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
136,Ruelle sans nom (segment 136),residential,55.93500041593819,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
137,Ruelle sans nom (segment 137),residential,55.67252162656977,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
138,Phố Viên,tertiary,176.50898412581512,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.88,8,313
139,Phố Viên,tertiary,80.51862373273842,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
140,Đường Phạm Văn Đồng,primary,355.4235369774434,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.3,8,313
141,Đường Phạm Văn Đồng,primary,258.5520351774697,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.31,8,313
142,Ngõ 104 Đường Cổ Nhuế,residential,349.3611056564863,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.06,8,313
143,Đường Cổ Nhuế,secondary,79.2609582681947,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.66,8,313
144,Phố Nguyễn Đình Tứ,tertiary,133.54079882536726,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.88,8,313
145,Phố Nguyễn Đình Tứ,tertiary,333.1681486067531,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.86,8,313
146,Ruelle sans nom (segment 146),residential,370.3924398454765,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.05,8,313
147,Phố Nguyễn Đình Tứ,tertiary,77.85444382770089,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
148,Ruelle sans nom (segment 148),tertiary,63.43967958333617,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
149,Đường Phạm Văn Đồng,primary,159.67927185166496,20,12.0,1,0.6,19.2,1.15,0.30463,68.98,3.33,8,313
150,Tăng Thiết Giáp,residential,228.17918164400555,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
151,Ruelle sans nom (segment 151),residential,62.11868818478042,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
152,Tăng Thiết Giáp,residential,186.03072820082085,8,12.0,3,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
153,Ngõ 43 Đường Cổ Nhuế,residential,241.39325637612822,8,33.0,3,4.12,169.1,0.36,0.03542,39.4,2.38,8,313
154,Đường Sông Nhuệ,residential,189.64137955655738,8,12.0,5,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
155,Ruelle sans nom (segment 155),tertiary,69.3752321509986,12,12.0,1,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
156,Ruelle sans nom (segment 156),residential,75.31298526700996,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
157,Ruelle sans nom (segment 157),tertiary,93.61967153366069,12,12.0,1,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
158,Ngõ 56 Lê Văn Hiến,residential,108.7298365467372,8,12.0,5,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
159,Ngõ 1 Văn Hội,residential,217.35984768953088,8,11.571428571428571,21,1.45,28.3,0.75,0.03542,20.79,1.05,8,313
160,Ngõ 1 Văn Hội,residential,36.247625210143994,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
161,đường 15,residential,32.800971650250645,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
162,đường 15,residential,209.57151603615114,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
163,Phố Văn Hội,residential,28.87532697181348,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
164,Ngõ 1 Văn Hội,residential,45.224554341897196,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
165,Ngõ 1 Văn Hội,residential,110.0045491211467,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
166,Phố Văn Hội,residential,92.95273120200764,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
167,Phố Văn Hội,residential,69.3774550066959,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
168,Ngách 142/43 Đường Cổ Nhuế,residential,35.03553827232695,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
169,Ruelle sans nom (segment 169),residential,22.927824391455946,8,9.5,6,1.19,20.8,0.84,0.03542,25.33,0.94,8,313
170,Đường Cổ Nhuế,secondary,57.30523727807685,16,11.25,8,0.7,19.2,1.08,0.22986,69.4,2.64,8,313
171,Ngõ 523 Đường Cổ Nhuế,residential,52.01256304729594,8,28.5,2,3.56,130.0,0.4,0.03542,35.07,2.13,8,313
172,Ruelle sans nom (segment 172),residential,42.494483919171536,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
173,Ruelle sans nom (segment 173),residential,144.20293159368617,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
174,Ruelle sans nom (segment 174),residential,61.746239841463606,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
175,Ruelle sans nom (segment 175),residential,19.73335708551546,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
176,Ruelle sans nom (segment 176),residential,94.97772270347852,8,9.0,7,1.12,19.1,0.87,0.03542,26.73,0.9,8,313
177,Phố Viên,tertiary,210.20982829154252,12,12.333333333333334,9,1.03,25.0,0.91,0.14028,51.51,1.89,8,313
178,Phố Viên,tertiary,68.69946031254011,12,12.0,2,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
179,Phố Nguyễn Đình Tứ,tertiary,63.38660034629479,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
180,Phố Nguyễn Đình Tứ,tertiary,103.23512150198273,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
181,Ngõ 467 Đường Phạm Văn Đồng,residential,228.66574096547566,8,12.0,3,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
182,Đường Phạm Văn Đồng,primary,132.27525231083987,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.33,8,313
183,Ngõ 562 Phố Trần Cung,residential,45.988437608202,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
184,Phố Trần Cung,secondary,167.88722640306173,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.65,8,313
185,Đường Trại Gà,tertiary,987.1938901617659,12,12.0,2,1.0,24.0,0.92,0.14028,52.94,1.77,8,313
186,Cầu Trại Gà,tertiary,23.919896362883044,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
187,Phú Minh,residential,269.06830780855216,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
188,Tây Thăng Long,secondary,305.0258140860348,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.63,8,313
189,Ruelle sans nom (segment 189),secondary_link,12.651460984788834,10,12.0,0,1.2,26.4,0.84,0.02361,10.69,0.83,8,313
190,Ruelle sans nom (segment 190),residential,647.7185984323607,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.02,8,313
191,Ruelle sans nom (segment 191),residential,74.52280489158456,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
192,Ruelle sans nom (segment 192),residential,114.98241213118065,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
193,Ruelle sans nom (segment 193),residential,68.11553920118973,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
194,Phố Văn Hội,residential,121.16660563366247,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
195,Phố Văn Hội,residential,80.3150336158674,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
196,Ruelle sans nom (segment 196),residential,166.14529181458448,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
197,Phố Văn Hội,residential,140.45615522556497,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
198,Ruelle sans nom (segment 198),residential,123.88555425264849,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
199,Ruelle sans nom (segment 199),tertiary,72.73930328616363,12,12.0,2,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
200,Ruelle sans nom (segment 200),residential,22.81087708005996,8,12.0,3,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
201,Phố Tân Phong,residential,75.10162851338434,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
202,Ruelle sans nom (segment 202),residential,40.85326349532268,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
203,Ruelle sans nom (segment 203),residential,151.4664753988137,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
204,Khu B Đại Học Mỏ,residential,18.24614197926742,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
205,Khu B Đại Học Mỏ,residential,165.36348649249996,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
206,Ruelle sans nom (segment 206),residential,21.800943343881965,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
207,Ngõ 85 Đường Tân Xuân,residential,112.27969943092529,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
208,Đường Phạm Văn Đồng,primary,17.20791184106962,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.34,8,313
209,Đường Cổ Nhuế,secondary,90.68853360831625,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.66,8,313
210,Đường Phạm Văn Đồng,primary,12.080223872354928,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.34,8,313
211,Phố Chế Lan Viên,residential,104.11410919555819,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
212,Đường Tân Xuân,secondary,3.952344586793749,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.67,8,313
